Startup_Name,Startup_Age,Funding_Amount,Number_of_Founders,Founder_Experience,Employees_Count,Revenue,Burn_Rate,Product_Uniqueness_Score,Customer_Retention_Rate,Marketing_Expense,Startup_Status,Annual_Expense,Profit,Market_Size_Ordinal,Is_Profitable_Binary,Industry_E-commerce,Industry_Education,Industry_Finance,Industry_Healthcare,Industry_Logistics,Industry_Tech,Business_Model_B2C,Business_Model_Hybrid
Startup_1,0.125,-0.2655685771422405,0.0,-0.13333333333333333,0.16144814090019569,0.9482219702318606,0.19749663218487937,-0.75,0.6021505376344085,0.966109166782196,0.0,0.27025702155963066,0.9112645498952279,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Startup_2,-0.5,0.5922941542598567,0.5,0.06666666666666667,0.05968688845401174,-0.2669002974965282,0.6308974046697056,-0.5,-0.35876267645110327,0.19171659364212756,0.0,0.6406339539500008,-0.34329074747880545,2,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Startup_3,0.875,-0.27578371259964135,-0.5,0.8666666666666667,-0.815068493150685,-0.932058840163352,0.971918138480581,-1.0,-0.8192427253732864,0.5529960673468105,0.0,1.0129746886090947,-1.05027309637226,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Startup_4,-0.25,-0.22123522959480396,1.0,-0.06666666666666667,-0.5176125244618396,0.6065938254136288,0.06629550278621457,1.0,-0.5477246088773378,-0.6281802577418811,0.0,0.005692449192747982,0.6025467934944805,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Startup_5,0.875,-0.8310345124432462,1.0,0.13333333333333333,0.9031311154598826,0.061366072008945116,0.10298505236890376,-0.5,0.47801049788513467,-0.3842141326170844,0.0,0.0628485733437953,0.05263638585982163,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Startup_6,-0.875,0.9356290511445456,1.0,-0.7333333333333333,-0.4295499021526419,0.16720608111358712,-0.5857552605023637,1.0,-0.20486164195077197,-0.1015218958919084,0.0,-0.60475739829456,0.23772771563381406,2,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Startup_7,-0.5,0.48778441970122755,0.0,0.26666666666666666,0.5684931506849316,0.9024712238311017,0.43529470246409735,-0.75,0.9205524129847628,0.9601608168907604,0.0,0.5083985595734841,0.8372754422199474,2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Startup_8,0.875,-0.9542990955626173,0.0,0.13333333333333333,0.6095890410958904,-0.487660076525289,0.6962394802380089,0.25,-0.1441165978698466,-0.3683518662399228,0.0,0.6595192134813945,-0.5654385207083599,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Startup_9,-0.75,0.36960376085151686,0.5,0.06666666666666667,-0.952054794520548,-0.47740446545398535,-0.0071512012288175615,0.25,0.733425062426744,0.35591857822070133,0.0,0.014021232260981174,-0.4781949745104414,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Startup_10,-0.75,-0.7219648935673976,-0.5,0.26666666666666666,-0.7896281800391389,0.8930829681619011,-0.9581426561746591,0.0,0.07929470519288591,0.6847155134840235,0.0,-0.9129182147441061,0.9975316529356228,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Startup_11,-0.375,0.36155657643513894,-0.5,0.3333333333333333,-0.6859099804305284,0.9493405080929698,0.6252563764794774,0.25,-0.4099271263313458,-0.24174297423478827,0.0,0.5988397187738707,0.8731684838837892,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Startup_12,0.875,-0.9151693109903647,-0.5,-0.13333333333333333,0.5371819960861057,0.044906738277738556,-0.4209684394712903,-0.25,-0.8632726902104673,0.45623863614829385,0.0,-0.3928938958548765,0.09062595569319475,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Startup_13,-0.375,0.3926509883106018,0.0,-1.0,0.13405088062622308,0.5855068896485874,-0.8516212736554837,0.25,0.14432044029964833,-0.29095948559340373,0.0,-0.8873533669709992,0.6881109066715425,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Startup_14,-0.125,0.4041335012599501,1.0,-1.0,-0.824853228962818,-0.39337252820892166,-0.9723217792005726,-0.5,-0.9148448249503134,-0.12678542754014188,0.0,-0.9947943027286001,-0.27410920706834,2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Startup_15,0.5,0.6117569852807956,0.0,-0.26666666666666666,0.9285714285714286,0.7476865525788196,-0.933681630867579,-1.0,0.01121133363909692,0.4849151881400037,0.0,-0.9050262571254865,0.8517635854891943,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Startup_16,0.125,0.37054809782265963,0.0,-1.0,0.7446183953033269,0.319209876281533,0.4013729749613509,-0.75,-0.8907914182337053,-0.26565206940539443,0.0,0.3721730382502871,0.27255706545465536,2,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Startup_17,0.125,0.2531377632887351,0.0,0.6,-0.6585127201565558,0.1295153055060195,0.32033862076164815,-1.0,0.03608011007491215,-0.5435928073239308,0.0,0.2676834595178832,0.09607517880114502,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Startup_18,-0.625,0.8470594123489326,0.0,0.26666666666666666,0.5332681017612525,0.5983132308014597,0.7347861748082458,-0.25,-0.6282423686490343,0.3007616959778822,0.0,0.753979432871032,0.5050045688239463,1,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Startup_19,0.125,-0.16375167441135094,-0.5,0.7333333333333333,0.27299412915851273,-0.7575287654116196,0.8833259597651726,0.75,-0.3075982265708608,-0.4479843531668181,0.0,0.8406278430496302,-0.8558609798058135,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Startup_20,-0.375,0.12312784745024012,1.0,-0.8,0.7211350293542075,-0.03208750831124289,0.8144465598576321,-0.5,-0.5032869591805534,0.7466385938595556,0.0,0.871089392703294,-0.13689922963845585,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Startup_21,0.5,0.5059292630147633,0.5,-0.3333333333333333,-0.49608610567514677,0.05062283747570573,0.42063638035681444,-0.75,0.296998420221169,-0.976898779311631,0.0,0.3322147337133593,0.009791447514575499,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Startup_22,-0.875,-0.5844734745814797,-0.5,-0.4,-0.8033268101761253,0.24956392681233602,-0.91426710874936,0.5,0.4655761096672271,-0.9235212156815419,0.0,-1.0029508166054364,0.36727959198927096,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Startup_23,0.0,0.4539834824112484,0.5,-0.5333333333333333,0.42759295499021527,-0.8265848773497906,-0.6496895644955236,1.0,0.234214951842226,-0.731005723940313,0.0,-0.7213912898884345,-0.738248462002565,1,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Startup_24,0.125,-0.6889539000596392,-0.5,-0.5333333333333333,-0.14187866927592954,0.5211519077366528,-0.7252101466925819,-1.0,-0.24420323090251228,-0.6811648552657957,0.0,-0.7930236797389357,0.6127517743794632,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Startup_25,0.75,-0.21459007627367874,0.5,0.7333333333333333,-0.1223091976516634,0.2809380880956985,0.12205359672712993,-0.5,0.4331651633287467,-0.9457307823117378,0.0,0.035176254787131774,0.2746496250690138,1,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Startup_26,0.0,0.1277184021986615,-0.5,-0.4,0.07534246575342465,0.006944381223297421,-0.7950340261173441,-0.5,0.05727972277429551,-0.9722510075990071,0.0,-0.8873590205931107,0.111817643461124,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Startup_27,-0.625,-0.23879417157703875,0.5,0.8,0.3258317025440313,0.8899253881121592,0.30764680442811765,1.0,0.29536768078275494,0.7527904084354065,0.0,0.3630136715806758,0.8421277747871132,1,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Startup_28,0.375,0.5287537094304969,-0.5,-0.2,0.7661448140900196,0.33837239463937707,0.8628277716745621,-0.5,-0.48331040105998063,0.6432885079356214,0.0,0.9110260804497955,0.2273423837589975,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Startup_29,-0.875,-0.7659342799926087,0.0,-0.2,0.3943248532289628,0.42974059678872517,-0.9571464788312315,-0.5,-0.3879121439127554,-0.6074348389387522,0.0,-1.0196324937773782,0.5487404279627394,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Startup_30,-0.625,0.04421390904055003,1.0,0.3333333333333333,0.27690802348336596,-0.4446923775855045,-0.17792900496597389,0.75,0.48738724965601593,-0.9898965820925146,0.0,-0.2695468268526265,-0.4117725919267315,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Startup_31,0.625,0.4847239430963402,0.0,0.8,0.3806262230919765,0.08692180049993059,0.5073594838170891,0.0,-0.3528512459868522,0.7340377466884627,0.0,0.5618680232588351,0.018543242709110577,2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
